Id,Label,Comunidad,Tweet_original
chileconci3ncia,chileconci3ncia,Es_comunidad,0
cgainza,cgainza,Sigue_comunidad,0
MunozPalma,MunozPalma,Sigue_comunidad,0
tibu774,tibu774,Sigue_comunidad,0
OpenSciTalk,OpenSciTalk,Sin_vinculos,0
marijo_de_arcia,marijo_de_arcia,Sin_vinculos,0
jldiaz_ar,jldiaz_ar,Sigue_comunidad,0
barb_rivera,barb_rivera,Sigue_comunidad,0
Investiga_UCEN,Investiga_UCEN,Sin_vinculos,0
Ucen,Ucen,Sin_vinculos,0
villegas_pao,villegas_pao,Sin_vinculos,0
skjimenez,skjimenez,Sigue_comunidad,0
capaudas2012,capaudas2012,Sin_vinculos,0
alexbaez,alexbaez,Sin_vinculos,0
teoriantropolog,teoriantropolog,Sigue_comunidad,0
AytoMurcia,AytoMurcia,Sin_vinculos,0
MajoPineyrua,MajoPineyrua,Sin_vinculos,0
juand_cortes,juand_cortes,Sin_vinculos,0
AntunRomulo,AntunRomulo,Sin_vinculos,0
luisfer81567047,luisfer81567047,Sin_vinculos,0
MyriamGarn,MyriamGarn,Sin_vinculos,0
1jonatan2,1jonatan2,Sin_vinculos,0
LinaporlaEdU,LinaporlaEdU,Sin_vinculos,0
eskole,eskole,Sin_vinculos,0
lgzuan,lgzuan,Sin_vinculos,0
ONVentura,ONVentura,Sin_vinculos,0
fcaiafa,fcaiafa,Sin_vinculos,0
aiqu_uruguay,aiqu_uruguay,Sin_vinculos,0
Edy_V77,Edy_V77,Sin_vinculos,0
SofiaSycamore,SofiaSycamore,Sin_vinculos,0
DanteAlmeida10,DanteAlmeida10,Sin_vinculos,0
mc_cogal,mc_cogal,Sin_vinculos,0
tereaxe78,tereaxe78,Sin_vinculos,0
AntroSocyJuri,AntroSocyJuri,Sigue_comunidad,0
cesaretamayo,cesaretamayo,Sin_vinculos,0
CarmitaAlvarez1,CarmitaAlvarez1,Sigue_comunidad,0
pentytef,pentytef,Sin_vinculos,0
ladriyoo,ladriyoo,Sin_vinculos,0
barbablanc4,barbablanc4,Sigue_comunidad,0
g_bernall,g_bernall,Sin_vinculos,0
upbcolombia,upbcolombia,Sin_vinculos,0
Facdeh_UCEN,Facdeh_UCEN,Sin_vinculos,0
slondonouribe,slondonouribe,Sin_vinculos,0
dreamgirl_3vil,dreamgirl_3vil,Sigue_comunidad,0
TurturroLucas,TurturroLucas,Sin_vinculos,0
janema_7,janema_7,Sin_vinculos,0
Fegoc_UCEN,Fegoc_UCEN,Sin_vinculos,0
jrtuits,jrtuits,Sin_vinculos,0
MSilvaMoyano,MSilvaMoyano,Sin_vinculos,0
Jaimeveme,Jaimeveme,Sin_vinculos,0
EAFIT,EAFIT,Sigue_comunidad,0
damiantears,damiantears,Sin_vinculos,0
soledad_qv,soledad_qv,Sigue_comunidad,0
andidelfuturo,andidelfuturo,Sin_vinculos,0
OEIChile,OEIChile,Sin_vinculos,0
LuisErnestoPaz6,LuisErnestoPaz6,Sigue_comunidad,0
PortugalOei,PortugalOei,Sin_vinculos,0
iremi_harumi,iremi_harumi,Sin_vinculos,0
MutioJorge,MutioJorge,Sin_vinculos,0
nachovi61,nachovi61,Sin_vinculos,0
OEIEcuador,OEIEcuador,Sigue_comunidad,1
Ricyt_Indicador,Ricyt_Indicador,Sin_vinculos,0
CamiloJCO,CamiloJCO,Sin_vinculos,0
ObservatorioCTS,ObservatorioCTS,Sin_vinculos,0
IndicesRed,IndicesRed,Sin_vinculos,0
sorais,sorais,Sigue_comunidad,0
carloscarballar,carloscarballar,Sin_vinculos,0
catalinamorfin,catalinamorfin,Sin_vinculos,0
dgonzalezhdz,dgonzalezhdz,Sin_vinculos,0
dorisfm,dorisfm,Sin_vinculos,0
albayardo,albayardo,Sin_vinculos,0
Fsierra5Fsierra,Fsierra5Fsierra,Sin_vinculos,0
Pol_y_Analitica,Pol_y_Analitica,Sin_vinculos,0
maraicolmenares,maraicolmenares,Sin_vinculos,0
LauraAlmada,LauraAlmada,Sin_vinculos,0
PosgradosITESO,PosgradosITESO,Sin_vinculos,0
ObsLegislativo,ObsLegislativo,Sin_vinculos,0
ricosushi,ricosushi,Sin_vinculos,0
ivangvega,ivangvega,Sin_vinculos,0
BernardoMasini,BernardoMasini,Sin_vinculos,0
CENDES_UCV,CENDES_UCV,Sin_vinculos,0
chillynieva,chillynieva,Sin_vinculos,0
rggja,rggja,Sin_vinculos,0
FZolessi,FZolessi,Sin_vinculos,0
MauroSaezT,MauroSaezT,Sin_vinculos,0
Dolucy,Dolucy,Sin_vinculos,0
matg20,matg20,Sin_vinculos,0
metodogolo,metodogolo,Sin_vinculos,1
CarlosRuz_F,CarlosRuz_F,Sigue_comunidad,0
exploravalpo,exploravalpo,Sin_vinculos,1
mairaga43610691,mairaga43610691,Sin_vinculos,0
verogomezvelez,verogomezvelez,Sin_vinculos,0
LuisaEl73710047,LuisaEl73710047,Sin_vinculos,0
infolar11,infolar11,Sin_vinculos,0
Innova_UV,Innova_UV,Sin_vinculos,0
InvestigandoUV,InvestigandoUV,Sin_vinculos,0
hada76,hada76,Sin_vinculos,0
directorivic,directorivic,Sin_vinculos,0
loisinneth96,loisinneth96,Sin_vinculos,0
DeisyPe67271973,DeisyPe67271973,Sin_vinculos,0
uris84,uris84,Sin_vinculos,0
salvarado284,salvarado284,Sin_vinculos,0
danavido,danavido,Sin_vinculos,0
vargasformacion,vargasformacion,Sin_vinculos,0
FundaciteGuaric,FundaciteGuaric,Sin_vinculos,1
corpoandes2022,corpoandes2022,Sin_vinculos,0
ComunicaTacInfo,ComunicaTacInfo,Sin_vinculos,0
mi74218824,mi74218824,Sin_vinculos,0
gjgonzalez7,gjgonzalez7,Sin_vinculos,0
YenniKaro1,YenniKaro1,Sin_vinculos,0
muhtar_wicem,muhtar_wicem,Sin_vinculos,0
celina_sulbaran,celina_sulbaran,Sin_vinculos,0
Yar01C,Yar01C,Sin_vinculos,1
miljimenez05,miljimenez05,Sin_vinculos,0
FIIIDT_OFICIAL,FIIIDT_OFICIAL,Sigue_comunidad,0
MislenysFuenma1,MislenysFuenma1,Sin_vinculos,0
auxiliadoraurq2,auxiliadoraurq2,Sin_vinculos,0
Dilia1972,Dilia1972,Sin_vinculos,0
infliberamerica,infliberamerica,Sin_vinculos,0
yamilis221,yamilis221,Sin_vinculos,0
gianinol,gianinol,Sin_vinculos,0
edguita12345,edguita12345,Sin_vinculos,0
39Virmary39,39Virmary39,Sin_vinculos,0
SocialesUV,SocialesUV,Sin_vinculos,0
AlidaCorzo,AlidaCorzo,Sin_vinculos,0
FundaciteLARA,FundaciteLARA,Sin_vinculos,0
jjmadridh,jjmadridh,Sin_vinculos,0
carlot_la,carlot_la,Sin_vinculos,0
SocializaCIDA,SocializaCIDA,Sin_vinculos,0
OpenScienceFAIR,OpenScienceFAIR,Sin_vinculos,0
PelaezRolando1,PelaezRolando1,Sin_vinculos,0
samuels95392574,samuels95392574,Sin_vinculos,0
HpsuvCarlos,HpsuvCarlos,Sin_vinculos,0
CedenoYusmira,CedenoYusmira,Sin_vinculos,0
jgarridoFfm,jgarridoFfm,Sin_vinculos,0
LaRosaInfoven,LaRosaInfoven,Sin_vinculos,0
leonpsuv1,leonpsuv1,Sin_vinculos,0
ThaChacoa,ThaChacoa,Sin_vinculos,0
surcomuna,surcomuna,Sin_vinculos,0
infomovil19,infomovil19,Sin_vinculos,0
torres_jahana,torres_jahana,Sin_vinculos,0
olgapereiraj,olgapereiraj,Sin_vinculos,0
ipostelcapital,ipostelcapital,Sin_vinculos,0
derlytalopez,derlytalopez,Sin_vinculos,0
Guricoinfocent1,Guricoinfocent1,Sin_vinculos,0
InPortuguesa,InPortuguesa,Sin_vinculos,0
comunicacojedes,comunicacojedes,Sin_vinculos,0
diazmontes18,diazmontes18,Sin_vinculos,0
FundacitezuliaO,FundacitezuliaO,Sin_vinculos,0
BcCojedes,BcCojedes,Sin_vinculos,0
RosirisD,RosirisD,Sin_vinculos,0
parranestor,parranestor,Sin_vinculos,0
LOISCM3,LOISCM3,Sin_vinculos,0
Yeseg7,Yeseg7,Sin_vinculos,0
MaraRoj18,MaraRoj18,Sin_vinculos,0
centro_cida,centro_cida,Sigue_comunidad,0
levigalindo,levigalindo,Sin_vinculos,0
fxgv5,fxgv5,Sin_vinculos,0
carlosp403,carlosp403,Sin_vinculos,0
fundacitemerida,fundacitemerida,Sin_vinculos,0
edisbel04,edisbel04,Sin_vinculos,0
radio_festival,radio_festival,Sin_vinculos,0
Matsu_mabel,Matsu_mabel,Sin_vinculos,0
IFA_UV,IFA_UV,Sin_vinculos,0
Mabel_Keller,Mabel_Keller,Sin_vinculos,1
belkis25450547,belkis25450547,Sin_vinculos,0
MinCyTBolivar,MinCyTBolivar,Sin_vinculos,0
jimdelarosa,jimdelarosa,Sigue_comunidad,0
Jadillemussa,Jadillemussa,Sin_vinculos,0
rvletelier,rvletelier,Sin_vinculos,0
florisaut,florisaut,Sin_vinculos,0
raulim50,raulim50,Sin_vinculos,0
ConatiOficial,ConatiOficial,Sigue_comunidad,0
cientificaMujer,cientificaMujer,Sin_vinculos,0
JFcoFuentealba,JFcoFuentealba,Sin_vinculos,0
soylacarlii,soylacarlii,Sigue_comunidad,0
EnderPerdomo4,EnderPerdomo4,Sin_vinculos,0
salaprensaCantv,salaprensaCantv,Sin_vinculos,0
fundacitetru,fundacitetru,Sin_vinculos,0
dulcey_lilibet,dulcey_lilibet,Sin_vinculos,0
WilsonJose2212,WilsonJose2212,Sin_vinculos,0
Mincyt_VE,Mincyt_VE,Sin_vinculos,0
L3n5s,L3n5s,Sin_vinculos,0
rcamachotoro,rcamachotoro,Sigue_comunidad,0
laurockdriguez,laurockdriguez,Sigue_comunidad,0
evamen,evamen,Sigue_comunidad,0
PujadasJoana,PujadasJoana,Sin_vinculos,0
nao_xiomara,nao_xiomara,Sin_vinculos,0
Ipostelcentll,Ipostelcentll,Sin_vinculos,0
MirianFebres,MirianFebres,Sin_vinculos,0
jeanmar51181788,jeanmar51181788,Sin_vinculos,0
abgypm,abgypm,Sin_vinculos,0
ipostel_ve,ipostel_ve,Sin_vinculos,0
CNTI_VE,CNTI_VE,Sigue_comunidad,0
migsolorzano,migsolorzano,Sin_vinculos,0
MarcanoSiempre,MarcanoSiempre,Sin_vinculos,0
_lacion_,_lacion_,Sigue_comunidad,0
openscience,openscience,Sigue_comunidad,0
UNESCOmvdo,UNESCOmvdo,Sin_vinculos,0
Leteosplace,Leteosplace,Sin_vinculos,0
secrtariaclebg,secrtariaclebg,Sin_vinculos,0
ReyBorrero,ReyBorrero,Sin_vinculos,0
leocova33,leocova33,Sin_vinculos,0
AlemanyCecilia,AlemanyCecilia,Sigue_comunidad,0
ingcarolinf,ingcarolinf,Sin_vinculos,0
JCCERUTTI,JCCERUTTI,Sin_vinculos,0
beatrizcenturin,beatrizcenturin,Sin_vinculos,1
sebatambusso,sebatambusso,Sin_vinculos,0
aceiteaxilar,aceiteaxilar,Sin_vinculos,0
MarianaDGiacomo,MarianaDGiacomo,Sin_vinculos,0
AngelDuarteVen,AngelDuarteVen,Sin_vinculos,0
ConVmro,ConVmro,Sin_vinculos,0
wilfrana,wilfrana,Sin_vinculos,0
amarilis982,amarilis982,Sin_vinculos,0
vero_vm,vero_vm,Sin_vinculos,0
alexmtz_mb,alexmtz_mb,Sin_vinculos,0
SMMEAC,SMMEAC,Sin_vinculos,0
ChatoGorordo,ChatoGorordo,Sin_vinculos,0
AbesoainS,AbesoainS,Sin_vinculos,0
BlancaVelasco77,BlancaVelasco77,Sin_vinculos,0
Bibliotecas_UC,Bibliotecas_UC,Sin_vinculos,0
EspinosaCristia,EspinosaCristia,Sin_vinculos,0
uta_otl,uta_otl,Sin_vinculos,1
kiarabetsy,kiarabetsy,Sin_vinculos,0
cundurraga,cundurraga,Sin_vinculos,0
invipesca,invipesca,Sin_vinculos,0
SeremiCienciaCS,SeremiCienciaCS,Sin_vinculos,0
InES_GeneroUV,InES_GeneroUV,Sin_vinculos,0
twittcafechile,twittcafechile,Sin_vinculos,0
aniks86,aniks86,Sigue_comunidad,0
dridelatorre,dridelatorre,Sin_vinculos,0
AlainChapleGil,AlainChapleGil,Sin_vinculos,0
msanhuezacelsi,msanhuezacelsi,Sin_vinculos,0
anto_toninayc,anto_toninayc,Sin_vinculos,0
GonzaloLagosMar,GonzaloLagosMar,Sin_vinculos,0
15nahuel,15nahuel,Sin_vinculos,0
carlaguzmana,carlaguzmana,Sin_vinculos,0
min_ciencia,min_ciencia,Sin_vinculos,0
turingway,turingway,Sigue_comunidad,0
SciELO_Chile,SciELO_Chile,Sin_vinculos,0
toninifer,toninifer,Sigue_comunidad,0
leboixta,leboixta,Sin_vinculos,0
vinadenuncia,vinadenuncia,Sin_vinculos,0
rebiun,rebiun,Sin_vinculos,0
jacintodavila,jacintodavila,Sin_vinculos,0
OlidenPerez,OlidenPerez,Sin_vinculos,0
mezquitic3000,mezquitic3000,Sigue_comunidad,0
gsantoshe,gsantoshe,Sigue_comunidad,0
cristina_azorin,cristina_azorin,Sin_vinculos,0
JordiPrats,JordiPrats,Sin_vinculos,0
ILIA_CSIC,ILIA_CSIC,Sin_vinculos,0
CSIC_VAACT,CSIC_VAACT,Sin_vinculos,0
KnowmadInstitut,KnowmadInstitut,Sin_vinculos,1
srta_replica,srta_replica,Sin_vinculos,0
LabmedLtda,LabmedLtda,Sin_vinculos,0
asomunisvalpo,asomunisvalpo,Sin_vinculos,0
BARRATA,BARRATA,Sin_vinculos,0
explora_cl,explora_cl,Sin_vinculos,0
DieJGuz,DieJGuz,Sin_vinculos,0
consorciocincel,consorciocincel,Sigue_comunidad,0
CentrosAnid,CentrosAnid,Sigue_comunidad,0
UsachIngenieria,UsachIngenieria,Sin_vinculos,0
DavidLantaron,DavidLantaron,Sin_vinculos,0
AdolfoCoboUC,AdolfoCoboUC,Sin_vinculos,0
DaniellaAGM,DaniellaAGM,Sin_vinculos,0
Noelia_Burgardt,Noelia_Burgardt,Sigue_comunidad,0
NaabTeresa,NaabTeresa,Sin_vinculos,0
unican,unican,Sin_vinculos,0
julia_kling,julia_kling,Sin_vinculos,0
florian_toepfl,florian_toepfl,Sin_vinculos,0
EdQuintana,EdQuintana,Sin_vinculos,0
MarinaRG_CSIC,MarinaRG_CSIC,Sin_vinculos,0
ENJOIproject,ENJOIproject,Sin_vinculos,0
ducuchu,ducuchu,Sigue_comunidad,0
xmnlab,xmnlab,Sigue_comunidad,0
Ernesto2030,Ernesto2030,Sin_vinculos,0
Fedit,Fedit,Sin_vinculos,0
cbd_industries,cbd_industries,Sin_vinculos,0
Facsalud_UCEN,Facsalud_UCEN,Sin_vinculos,0
UAFGI,UAFGI,Sin_vinculos,0
